dataset,task,trimmedTaskDuration,userid
birdstrikes1,t1,77.699,01
birdstrikes1,t2,59.055,01
birdstrikes1,t3,170.265,01
birdstrikes1,t4,729.133,01
weather1,t1,339.502,01
weather1,t2,260.582,01
weather1,t3,341.218,01
weather1,t4,548.638,01
birdstrikes1,t1,555.569,05
birdstrikes1,t2,163.07,05
birdstrikes1,t3,299.544,05
birdstrikes1,t4,516.16,05
weather1,t1,333.84,05
weather1,t2,294.975,05
weather1,t3,342.006,05
weather1,t4,406.309,05
birdstrikes1,t1,243.314,09
birdstrikes1,t2,386.718,09
birdstrikes1,t3,405.617,09
birdstrikes1,t4,488.405,09
faa1,t1,131.283,09
faa1,t2,377.907,09
faa1,t3,108.713,09
faa1,t4,504.349,09
birdstrikes1,t1,220.689,109
birdstrikes1,t2,412.45,109
birdstrikes1,t3,409.582,109
birdstrikes1,t4,1124.842,109
faa1,t1,322.519,109
faa1,t2,336.542,109
faa1,t3,373.932,109
faa1,t4,712.073,109
weather1,t1,416.05,113
weather1,t2,481.345,113
weather1,t3,358.504,113
weather1,t4,492.165,113
weather1,t1,305.437,117
weather1,t2,391.218,117
weather1,t3,412.511,117
weather1,t4,612.227,117
birdstrikes1,t1,254.208,13
birdstrikes1,t2,372.557,13
birdstrikes1,t3,297.885,13
birdstrikes1,t4,547.87,13
faa1,t1,311.183,13
faa1,t2,306.188,13
faa1,t3,234.499,13
faa1,t4,379.786,13
faa1,t1,321.709,21
faa1,t2,246.779,21
faa1,t3,355.437,21
faa1,t4,355.419,21
weather1,t1,88.956,21
weather1,t2,299.538,21
weather1,t3,312.537,21
weather1,t4,421.518,21
birdstrikes1,t1,326.981,25
birdstrikes1,t2,89.985,25
birdstrikes1,t3,268.621,25
birdstrikes1,t4,530.009,25
weather1,t1,158.396,25
weather1,t2,68.792,25
weather1,t3,252.894,25
weather1,t4,569.339,25
birdstrikes1,t1,87.866,29
birdstrikes1,t2,309.449,29
birdstrikes1,t3,432.77,29
birdstrikes1,t4,551.246,29
weather1,t1,76.527,29
weather1,t2,112.143,29
weather1,t3,391.008,29
weather1,t4,482.992,29
birdstrikes1,t1,105.143,33
birdstrikes1,t2,330.588,33
birdstrikes1,t3,304.195,33
birdstrikes1,t4,499.326,33
faa1,t1,211.801,33
faa1,t2,270.795,33
faa1,t3,104.616,33
faa1,t4,358.928,33
birdstrikes1,t1,109.973,37
birdstrikes1,t2,175.779,37
birdstrikes1,t3,200.419,37
birdstrikes1,t4,555.374,37
faa1,t1,307.393,37
faa1,t2,154.592,37
faa1,t3,231.586,37
faa1,t4,642.445,37
faa1,t1,387.907,41
faa1,t2,312.85,41
faa1,t3,133.063,41
faa1,t4,452.417,41
weather1,t1,403.439,41
weather1,t2,150.41,41
weather1,t3,157.629,41
weather1,t4,488.325,41
faa1,t1,403.206,45
faa1,t2,177.686,45
faa1,t3,56.247,45
faa1,t4,414.022,45
weather1,t1,334.656,45
weather1,t2,76.729,45
weather1,t3,130.712,45
weather1,t4,584.258,45
birdstrikes1,t1,196.891,53
birdstrikes1,t2,229.735,53
birdstrikes1,t3,335.405,53
birdstrikes1,t4,484.89,53
weather1,t1,215.577,53
weather1,t2,348.151,53
weather1,t3,381.991,53
weather1,t4,524.884,53
birdstrikes1,t1,173.845,57
birdstrikes1,t2,395.05,57
birdstrikes1,t3,252.297,57
birdstrikes1,t4,513.037,57
faa1,t1,222.823,57
faa1,t2,369.2,57
faa1,t3,159.339,57
faa1,t4,705.636,57
birdstrikes1,t1,455.859,61
birdstrikes1,t2,84.927,61
birdstrikes1,t3,355.056,61
birdstrikes1,t4,426.404,61
faa1,t1,295.576,65
faa1,t2,70.329,65
faa1,t3,52.11,65
faa1,t4,274.665,65
weather1,t1,231.448,65
weather1,t2,112.562,65
weather1,t3,406.773,65
weather1,t4,495.017,65
faa1,t1,391.036,69
faa1,t2,372.204,69
faa1,t3,411.947,69
faa1,t4,1197.077,69
weather1,t1,262.82,69
weather1,t2,351.278,69
weather1,t3,431.565,69
weather1,t4,351.03,69
birdstrikes1,t1,93.525,73
birdstrikes1,t2,460.318,73
birdstrikes1,t3,368.874,73
birdstrikes1,t4,542.551,73
weather1,t1,291.171,73
weather1,t2,379.969,73
weather1,t3,333.585,73
weather1,t4,560.318,73
birdstrikes1,t1,196.271,77
birdstrikes1,t2,374.058,77
birdstrikes1,t3,341.049,77
birdstrikes1,t4,605.485,77
weather1,t1,38.41,77
weather1,t2,165.773,77
weather1,t3,200.43,77
weather1,t4,355.139,77
birdstrikes1,t1,424.164,81
birdstrikes1,t2,302.366,81
birdstrikes1,t3,241.308,81
birdstrikes1,t4,492.528,81
faa1,t1,375.985,81
faa1,t2,33.112,81
faa1,t3,355.833,81
faa1,t4,616.344,81
birdstrikes1,t1,73.761,85
birdstrikes1,t2,169.903,85
birdstrikes1,t3,428.935,85
birdstrikes1,t4,370.576,85
faa1,t1,353.338,85
faa1,t2,271.968,85
faa1,t3,326.975,85
faa1,t4,482.347,85
faa1,t1,463.876,89
faa1,t2,68.849,89
faa1,t3,394.462,89
faa1,t4,572.217,89
faa1,t1,387.197,93
faa1,t2,204.856,93
faa1,t3,178.046,93
faa1,t4,387.85,93
weather1,t1,269.073,93
weather1,t2,407.435,93
weather1,t3,241.503,93
weather1,t4,317.959,93
birdstrikes1,t1,32.993,97
birdstrikes1,t2,484.917,97
birdstrikes1,t3,208.88,97
birdstrikes1,t4,439.94,97
weather1,t1,140.414,97
weather1,t2,386.116,97
weather1,t3,407.677,97
weather1,t4,487.611,97
